m1,m2,LISA,LGWA1,LGWA2,CE1+CE1+ET,CE2+CE2+ET
450,150,0.62,0.32,3.1332921018296735,6.287441537507225,6.287441502662961
500,150,0.68,0.33,3.3619107526336487,5.775557228626804,5.77555720908918
550,150,0.74,0.35,3.587094974414913,5.335409660123571,5.335409696504605
600,150,0.8,0.36,3.8096992490234025,4.955002043449436,4.955002024610407
650,150,0.86,0.37,4.030450874913177,4.622351404119926,4.622351404090891
700,150,0.92,0.38,4.250005530544569,4.330200328347453,4.330200324051282
750,150,0.97,0.39,4.468875891913573,4.070912615559981,4.070912564662979
800,150,1.03,0.4,4.686729561302435,3.8400393697739874,3.8400393890708666
850,150,1.09,0.41,4.904283959330534,3.6325484981357774,3.6325484865499846
900,150,1.15,0.42,5.1221598130257755,3.445455714556283,3.4454557171947084
950,150,1.2,0.43,5.340834007629205,3.275724467898508,3.275724467898508
1000,150,1.26,0.44,5.560838041104886,3.121032623639071,3.121032601226975
1050,150,1.32,0.45,5.7827077563436715,2.9794499872714733,2.9794499866028614
1100,150,1.37,0.45,6.007161063627241,2.849364942633703,2.8493649466454642
1150,150,1.43,0.46,6.234945724810055,2.7294095674531205,2.7294095674531205
1200,150,1.48,0.47,6.466963250393523,2.618537856591049,2.618537856591049
1250,150,1.54,0.48,6.704347245568259,2.515529881156842,2.515529881156842
1300,150,1.59,0.48,6.948523794984669,2.419853258429379,2.419853258429379
1350,150,1.65,0.49,7.200668415960353,2.3304663641438244,2.3304663641438244
1400,150,1.7,0.5,7.463038417906484,2.246747488916312,2.246747488916312
1450,150,1.75,0.5,7.7378938919534574,2.168409064448568,2.168409064448568
1500,150,1.8,0.51,8.027199497026256,2.0947023141763257,2.0947023141763257
1550,150,1.85,0.52,8.334674091421482,2.0253620626730604,2.0253620626730604
1600,150,1.9,0.52,8.661748306864697,1.9598627540864402,1.9598627540864402
1650,150,1.95,0.53,9.008548670654019,1.8980144165532413,1.8980144165532413
1700,150,2.0,0.54,9.375702882331554,1.839507992059385,1.839507992059385
1750,150,2.05,0.54,9.756001464613915,1.783899103617246,1.783899103617246
1800,150,2.1,0.55,10.140792107682238,1.7311307575855834,1.7311307575855834
1850,150,2.15,0.55,10.515613597568477,1.6808758948945826,1.6808758948945826
1900,150,2.19,0.56,10.86860798361072,1.6331131488687607,1.6331131488687607
1950,150,2.23,0.57,11.179823443383087,1.587497876452088,1.587497876452088
2000,150,2.28,0.57,11.449854773020446,1.5439788670319745,1.5439788670319745
2050,150,2.33,0.58,11.680587171140832,1.5022735052147187,1.5022735052147187
2100,150,2.375567958566309,0.58,11.867951239464855,1.4624390296258152,1.4624390296258152
2150,150,2.4187722858309693,0.59,12.014404040727188,1.42,1.42
2200,150,2.4613939590894502,0.59,12.12469246938697,1.38,1.38
2250,150,2.5034505851750395,0.6,12.209865989047453,1.35,1.35
2300,150,2.544960773163676,0.6,12.273314648918177,1.31,1.31
2350,150,2.5859434476717653,0.61,12.317423486141655,1.28,1.28
2400,150,2.626418086907666,0.61,12.343936416723851,1.25,1.25
2450,150,2.666464526961883,0.62,12.348575891170032,1.22,1.22
2500,150,2.7060005673222225,0.62,12.352763060793949,1.19,1.19
2550,150,2.745090495250396,0.63,12.340410513991976,1.16,1.16
2600,150,2.783753781158239,0.63,12.3195699889181,1.13,1.13
2650,150,2.8220096781267774,0.64,12.292075714224572,1.11,1.11
2700,150,2.8598769618787117,0.64,12.258874502724293,1.08,1.08
2750,150,2.8973740055947075,0.65,12.221419183389129,1.06,1.06
2800,150,2.9345184956560746,0.65,12.180014330056672,1.03,1.03
2850,150,2.9713278358859854,0.66,12.134491880476828,1.01,1.01
2900,150,3.0078188087793056,0.66,12.084614421260437,0.99,0.99
2950,150,3.044007929771808,0.67,12.030546833400518,0.97,0.97
3000,150,3.0799112307728285,0.67,11.973614892546726,0.95,0.95
3050,150,3.1155447706962702,0.68,11.914840432223217,0.93,0.93
3100,150,3.1509248425893754,0.68,11.854863682903051,0.91,0.91
3150,150,3.186068615972678,0.68,11.793896678775804,0.89,0.89
3200,150,3.220995687802752,0.69,11.732280750227838,0.87,0.87
3250,150,3.256238725803319,0.69,11.669978131237723,0.85,0.85
3300,150,3.2906476561200084,0.7,11.607138316837522,0.83,0.83
3350,150,3.3247972353187643,0.7,11.544054304905996,0.81,0.81
3400,150,3.3593624696824675,0.71,11.481143765728959,0.8,0.8
3450,150,3.3946991294969786,0.71,11.418434798685563,0.78,0.78
3500,150,3.43,0.71,11.355859913737943,0.76,0.76
3550,150,3.426857177965764,0.72,11.293515871130131,0.75,0.75
3600,150,3.488884025672177,0.72,11.231302674749397,0.73,0.73
3650,150,3.523043098636935,0.73,11.169075780503038,0.72,0.72
3700,150,3.5564726841630385,0.73,11.10687166702475,0.7,0.7
3750,150,3.5895604489059547,0.74,11.04478694487646,0.69,0.69
3800,150,3.6225743379714954,0.74,10.98288145894265,0.67,0.67
3850,150,3.655309404337379,0.74,10.921258899542524,0.66,0.66
3900,150,3.68779895235719,0.75,10.859834837964854,0.64,0.64
3950,150,3.720106130606849,0.75,10.79847516468516,0.63,0.63
4000,150,3.752261022223439,0.76,10.737135219544752,0.62,0.62
4050,150,3.7842823653847306,0.76,10.67592225141594,0.6,0.6
4100,150,3.816184078186641,0.76,10.614995240338427,0.59,0.59
4150,150,3.8474881150367257,0.77,10.55461895830241,0.58,0.58
4200,150,3.879672396307501,0.77,10.495055752918889,0.57,0.57
4250,150,3.911448604124206,0.78,10.436402830806482,0.56,0.56
4300,150,3.94325057121211,0.78,10.378544959823932,0.54,0.54
4350,150,3.974722317662052,0.78,10.321345171718988,0.53,0.53
4400,150,4.006109763141714,0.79,10.264565185957705,0.52,0.52
4450,150,4.037418260083648,0.79,10.208197802099747,0.51,0.51
4500,150,4.068198328302723,0.8,10.152125034621196,0.5,0.5
4550,150,4.099398099862965,0.8,10.096467356917547,0.49,0.49
4600,150,4.130544807499273,0.8,10.041337431301212,0.48,0.48
4650,150,4.161038079021081,0.81,9.986725634609094,0.47,0.47
4700,150,4.193145405244638,0.81,9.932667024587891,0.46,0.46
4750,150,4.224142112153402,0.82,9.879223034157786,0.44,0.44
4800,150,4.25506767148134,0.82,9.826498767236233,0.43,0.43
4850,150,4.285917915920761,0.82,9.774596395710782,0.42,0.42
4900,150,4.316370715904488,0.83,9.723526281036131,0.42,0.42
4950,150,4.347154438183937,0.83,9.673167841115479,0.41,0.41
5000,150,4.37786359316522,0.84,9.623538058398891,0.4,0.4
5050,150,4.40844454466499,0.84,9.574620130777168,0.39,0.39
5100,150,4.438451669056721,0.84,9.52629175749418,0.38,0.38
5150,150,4.471165299079246,0.85,9.478476737111768,0.37,0.37
5200,150,4.501030374936531,0.85,9.431079633637795,0.36,0.36
5250,150,4.529661003187118,0.86,9.384159535189402,0.35,0.35
5300,150,4.560305619217796,0.86,9.337780211595502,0.34,0.34
5350,150,4.591224236237685,0.86,9.291847896607733,0.33,0.33
5400,150,4.6220980983895155,0.87,9.246271656776482,0.32,0.32
5450,150,4.652737484527106,0.87,9.201028857561381,0.32,0.32
5500,150,4.683158125307058,0.88,9.156156474037273,0.31,0.31
5550,150,4.713428418579719,0.88,9.111602020585156,0.3,0.3
5600,150,4.743600780075007,0.88,9.067395009248745,0.29,0.29
